No_Of_Owners,car_age,Mileage,Fuel_Type,Kilomerters_driven,Price,Features_encoded,Model_encoded,location_encoded
3,15,18.0,4,11.002116507732017,11.156264806643742,146,30,226
1,6,15.4,4,10.463131911491967,2.1341664413690826,79,54,224
1,11,16.8,4,10.950824090522445,1.4701758451005928,148,57,224
1,8,18.0,4,10.829134379334308,1.8718021769015913,79,57,224
1,6,22.0,4,10.373522431293592,1.8309801823813363,148,159,224
1,8,14.28,4,10.491301994830229,2.2512917986064953,73,242,224
1,6,22.7,4,10.308985993422082,1.1314021114911006,125,36,220
1,6,16.0,1,11.127895137248546,2.39698576841553,74,130,224
2,10,20.36,4,11.082157933374816,1.1939224684724346,175,81,224
1,4,20.4,4,10.085850775128717,1.8702625307159986,79,159,224
1,8,28.09,1,11.32598124009083,1.824549292051046,79,145,224
2,14,19.0,4,10.050311456976926,0.8796267475025636,216,167,219
1,14,18.5,4,10.714439990727769,0.8285518175661483,91,155,220
2,4,17.5,4,8.893160828735379,2.0028304393079956,81,62,219
1,8,17.19,4,10.28973586171716,1.7334238922150915,79,83,253
1,6,15.8,4,11.06665398721974,2.2460147415056513,81,66,224
1,8,22.05,4,11.038158509075423,1.1474024528375417,126,138,210
1,6,17.4,4,10.757924157061597,2.1102132003465894,81,57,212
1,2,26.49,0,9.483872808823522,2.1656192379208883,81,238,220
1,7,21.1,4,11.690996333709943,1.2669476034873244,88,67,210
1,3,15.1,1,8.987321812850125,2.8758219768814333,81,130,211
1,9,25.1,1,10.714439990727769,1.8325814637483102,79,57,220
1,8,20.51,4,10.745550305055986,1.3737155789130306,94,164,224
3,10,20.36,4,11.06665398721974,1.208960345836975,175,81,223
1,4,21.66,1,10.859018228147887,1.7833912195575383,102,254,220
1,5,16.8,4,10.12667110305036,2.060513531794317,72,57,224
2,11,21.1,4,9.61587214452889,1.0508216248317612,141,67,224
1,4,16.5,4,10.714439990727769,2.613739521630969,74,98,253
1,6,14.8,4,11.082157933374816,2.2975725511705014,81,66,224
1,6,17.1,1,11.082157933374816,2.3513752571634776,79,92,224
1,5,17.4,4,9.981790285793302,2.1126345090356,81,57,219
1,8,22.38,4,9.029777268197092,1.6620303625532709,150,159,224
2,8,15.4,1,11.185226629268014,2.277267285009756,79,122,226
1,7,18.9,4,10.869520376305097,1.501852701754163,156,70,253
2,10,18.0,4,10.704165392288106,1.7047480922384253,79,57,224
2,10,18.6,4,10.691967639914864,1.4350845252893227,247,159,224
1,5,26.2,1,10.879649681447674,2.0095554142156695,81,71,211
2,3,19.01,4,9.210440366976517,2.3513752571634776,74,165,225
2,6,14.28,4,10.444066134451466,2.50470927708418,73,242,220
1,4,16.8,4,9.645817254152318,2.448415541205585,74,98,224
2,3,19.01,4,9.210440366976517,2.3513752571634776,74,165,225
1,6,20.3,4,11.127277689932466,1.5789787049493917,81,73,219
1,3,18.55,4,9.210440366976517,2.277267285009756,148,158,220
1,7,18.49,1,11.51293546492023,1.824549292051046,81,125,226
1,5,18.49,1,10.996081768878675,2.0476928433652555,81,125,210
1,7,23.1,4,10.819798284210286,1.5260563034950494,162,143,220
1,8,15.26,4,10.518700218288165,2.9418039315284354,148,4,224
2,11,16.95,4,11.002116507732017,1.208960345836975,148,208,224
1,2,20.0,4,8.987321812850125,2.302585092994046,81,84,219
1,7,24.52,1,10.34177474101152,2.1972245773362196,72,147,223
1,8,18.0,4,10.711992608204175,1.5195132049061133,163,53,224
2,7,22.1,1,10.794522012994118,1.9740810260220096,152,66,211
1,2,14.08,1,9.210440366976517,3.1986731175506815,81,227,209
1,7,18.15,4,8.54714026778419,1.551808799597464,121,117,210
1,7,22.05,4,10.268408405328712,1.3217558399823195,126,138,224
2,10,17.92,4,10.308985993422082,1.1631508098056809,166,74,224
1,5,17.4,4,9.932755050216697,2.1552445050953364,81,57,224
1,4,19.33,4,9.210440366976517,2.122261538862764,81,219,226
2,9,18.0,4,11.32514905749331,1.2809338454620642,132,53,219
1,2,18.6,4,9.503606822721864,2.411439497906128,74,57,212
1,5,20.89,4,11.51293546492023,1.62924053973028,128,153,210
1,6,25.47,1,11.097425172408931,2.187174241482718,150,147,223
1,9,12.99,1,12.083910661257521,2.1341664413690826,161,250,224
1,3,12.0,1,9.957075711706057,2.970414465569701,151,251,253
1,19,12.2,1,11.695255355062795,0.7419373447293773,233,235,218
1,9,19.81,4,11.51293546492023,1.410986973710262,93,81,192
1,6,17.09,1,10.697113351662292,3.6888794541139363,72,17,216
3,9,12.55,1,11.156264806643742,2.6741486494265287,79,246,192
1,5,17.5,4,10.714439990727769,2.0149030205422647,81,62,224
1,3,14.5,4,10.819798284210286,2.833213344056216,81,64,224
1,5,22.38,4,11.252118986523802,1.7029282555214393,150,159,226
1,3,19.28,4,10.653156833420399,1.8196988379172965,81,238,249
1,7,16.2,4,10.819798284210286,1.791759469228055,79,256,224
1,9,22.38,4,10.523983391847953,1.6094379124341003,74,159,226
1,7,27.39,1,11.027296391837153,1.7227665977411035,153,140,224
1,8,17.19,4,10.778977123006351,1.916922612182061,79,83,219
1,7,24.3,1,11.21781587668965,2.005525858729668,81,162,224
1,13,16.25,4,11.695255355062795,1.0986122886681098,72,210,220
1,4,21.7,4,9.373224234877663,1.631199404215613,155,156,253
2,4,22.3,4,9.889185767825268,1.5769147207285403,125,204,220
1,6,17.5,4,10.907459437050116,1.791759469228055,81,62,223
1,10,17.68,1,10.434145214930487,2.7568403652716422,72,4,224
2,8,18.6,4,10.819798284210286,1.791759469228055,79,82,192
2,10,16.47,4,10.596659732783579,1.5260563034950494,79,256,192
4,9,12.55,1,11.156264806643742,2.740840023925201,79,246,192
3,8,13.6,4,9.883335864325275,3.7612001156935624,72,199,252
1,13,14.8,1,11.695255355062795,1.5040773967762742,202,31,219
1,12,16.09,1,11.127277689932466,2.5641798306825083,72,20,220
2,10,21.02,1,11.156264806643742,1.1631508098056809,115,225,224
4,8,24.0,1,10.819798284210286,1.4586150226995167,93,70,209
1,3,19.28,4,11.158818649137206,1.8213182714695995,125,238,209
1,14,19.0,4,10.905992677225715,0.8796267475025636,243,136,210
1,6,20.37,1,9.90353755128617,2.1972245773362196,150,201,192
1,8,22.05,4,10.262978527734342,1.184789984909162,126,138,210
2,10,17.4,4,11.078875680006288,1.551808799597464,79,57,224
1,10,13.0,1,11.840263252102252,2.6390573296152584,79,246,212
1,5,21.79,4,10.091956839916318,1.6808279085207734,155,163,220
1,7,14.28,4,11.082157933374816,2.3513752571634776,72,242,224
1,9,17.4,4,11.283688385767459,1.6505798557652755,79,57,224
1,14,18.5,4,11.383340560421537,1.0750024230289759,188,82,220
1,9,16.02,4,9.90353755128617,2.1400661634962708,72,147,210
1,9,14.69,4,10.915106645867503,1.944480556245719,72,255,224
2,4,18.15,4,11.002116507732017,1.7404661748405046,121,118,226
1,10,19.4,4,10.761810131055057,1.4701758451005928,163,55,210
1,9,12.99,1,11.918397239722838,2.4423470353692043,79,250,249
2,9,14.21,1,10.633713731337494,3.1350593387750902,72,176,224
1,7,22.54,1,10.907807476583594,2.2438960966453663,81,68,224
1,17,19.255853130413264,4,9.90353755128617,10.819798284210286,0,74,192
1,2,20.0,4,8.294299608857235,2.0149030205422647,155,209,235
1,9,18.2,4,11.156264806643742,1.0296194171811583,93,29,201
1,3,17.03,4,10.305045035813276,2.0451088625993306,153,162,224
1,13,18.3,4,10.920799398469011,1.091923300517313,0,245,220
1,11,22.32,1,11.141876276228,1.252762968495368,181,78,224
2,9,22.41,4,10.635037804379019,1.4770487243883548,148,160,210
2,13,18.5,4,10.749892156946117,1.091923300517313,79,82,226
1,3,18.0,1,10.938680693334582,2.70805020110221,74,98,224
1,5,22.05,4,10.041116787524166,1.3428648031925547,126,138,253
2,10,19.81,4,10.645448706505872,1.144222799920162,243,81,224
1,10,21.1,4,10.171068953280907,1.1474024528375417,141,67,226
1,4,18.78,4,9.948174070158535,2.138889000323256,81,256,253
2,11,21.1,4,9.546884034617925,1.0473189942805592,141,67,224
1,4,24.76,4,8.006700845440367,1.6505798557652755,155,156,216
1,6,27.39,1,10.859056688207119,1.7316555451583497,121,140,211
2,14,18.5,4,11.002116507732017,1.0986122886681098,188,82,192
1,3,20.8,1,10.819798284210286,2.6539459421090092,74,98,224
1,10,14.28,4,10.985309671896763,1.7047480922384253,72,242,224
1,2,19.255853130413264,1,9.61587214452889,2.5641798306825083,74,99,224
2,10,21.1,4,10.016548344820142,1.1314021114911006,141,67,253
1,8,25.8,1,10.887137822734557,1.4929040961781488,153,53,224
1,13,11.7,4,10.799595985047786,1.6505798557652755,72,61,220
1,13,24.39,4,10.556359464094182,0.9969486348916096,125,139,226
1,14,20.36,4,11.011819122265148,1.000631880307906,175,81,220
1,3,15.0,4,9.45798139489078,4.204692619390966,150,176,224
1,5,21.72,1,10.52524613700842,2.190535589185423,81,215,224
1,2,17.03,4,10.158013485079007,2.2834022735772717,81,252,253
1,6,13.68,1,10.434145214930487,2.9096295745005794,72,251,219
1,5,18.15,4,10.299508201816293,2.254444717666111,81,77,220
1,6,19.49,4,10.645448706505872,1.4469189829363254,138,195,219
1,10,20.51,4,10.103403417731034,1.3454723665996355,94,164,210
1,4,16.24,4,9.569691731118324,2.337952236831337,81,215,224
1,5,18.49,1,9.179984251961283,2.1972245773362196,81,125,216
2,13,17.01,4,10.819798284210286,1.252762968495368,79,78,192
1,7,18.0,4,10.841500636482598,2.0149030205422647,81,57,224
2,14,19.81,4,11.002116507732017,0.9745596399981308,243,81,220
1,2,22.41,4,10.072597215357852,2.2512917986064953,74,160,224
1,15,19.81,4,10.596659732783579,0.9593502213346021,243,81,220
1,7,17.9,1,11.00214983995428,3.349904087274605,72,180,67
1,6,15.4,4,10.571342565808699,2.191653532286764,79,54,216
1,4,19.01,4,10.596659732783579,2.302585092994046,150,147,219
1,7,16.8,1,9.68046899341007,2.9444389791664403,99,267,220
2,10,17.01,4,10.839600519357369,1.5282278570085572,79,78,253
1,3,21.79,4,9.224637676677007,1.8082887711792655,155,163,226
2,5,21.7,4,10.890385851574235,1.6389967146756448,155,156,217
1,10,25.24,4,11.391130642848978,1.297463147413275,152,143,224
1,11,20.51,4,11.002116507732017,0.9162907318741551,131,163,224
1,3,19.2,4,9.397649470281177,2.691243082785829,81,212,224
1,3,19.01,4,9.210440366976517,1.824549292051046,81,236,210
1,6,15.4,1,10.757924157061597,2.327277705584417,129,122,251
1,6,19.6,1,9.90353755128617,2.0149030205422647,72,202,224
1,11,19.1,4,10.518700218288165,1.3480731482996928,93,160,224
1,2,20.7,4,9.161255164285691,2.1138429683971682,81,71,251
1,8,18.2,4,11.51293546492023,1.1314021114911006,79,29,23
1,2,30.48,0,10.024731259821491,1.8484548129046001,81,73,250
1,3,20.0,4,9.200593020521303,2.2235418856535927,81,82,226
1,8,17.0,4,11.156264806643742,1.791759469228055,72,45,57
1,4,18.9,4,9.908574591584685,1.8341801851120072,156,70,226
1,13,16.25,4,11.695255355062795,1.0296194171811583,72,210,220
1,3,17.33,4,9.632924771891735,2.3702437414678603,206,228,227
1,4,18.15,4,10.502269107060352,2.3523271848888596,81,77,224
